label,volume,coll_area,flow_rate,design_case,r_level
15,0.1,8,50,ST,r0
16,0.1,20,50,ST,r0
17,0.3,20,50,ST,r0
18,0.3,8,50,ST,r0
19,0.4,20,100,ST,r0
20,0.4,8,100,ST,r0
21,0.1,16,100,ST,r0
22,0.1,16,50,ST,r0
23,0.4,16,100,ST,r0
24,0.4,4,100,ST,r0
25,0.4,4,50,ST,r0
26,0.2,4,50,ST,r0
27,0.3,16,50,ST,r0
28,0.2,4,100,ST,r0
29,0.2,16,100,ST,r0
30,0.4,20,200,ST,r0
31,0.2,8,100,ST,r0
32,0.2,20,50,ST,r0
33,0.4,20,50,ST,r0
34,0.3,16,100,ST,r0
35,0.1,4,50,ST,r0
36,0.3,4,50,ST,r0
37,0.2,16,200,ST,r0
38,0.4,16,200,ST,r0
39,0.1,8,200,ST,r0
40,0.4,16,50,ST,r0
41,0.2,16,50,ST,r0
42,0.3,16,200,ST,r0
43,0.4,8,200,PVT,r0
44,0.2,8,200,PVT,r0
45,0.2,20,200,PVT,r0
46,0.2,20,100,PVT,r0
47,0.1,8,100,PVT,r0
48,0.1,20,100,PVT,r0
49,0.3,20,100,PVT,r0
50,0.3,20,200,PVT,r0
51,0.3,4,100,PVT,r0
52,0.1,4,100,PVT,r0
53,0.1,4,200,PVT,r0
54,0.1,16,200,PVT,r0
55,0.1,20,200,PVT,r0
56,0.3,8,200,PVT,r0
57,0.3,8,100,PVT,r0
58,0.1,8,50,PVT,r0
59,0.1,20,50,PVT,r0
60,0.3,20,50,PVT,r0
61,0.3,8,50,PVT,r0
62,0.4,20,100,PVT,r0
63,0.4,8,100,PVT,r0
64,0.1,16,100,PVT,r0
65,0.1,16,50,PVT,r0
66,0.4,16,100,PVT,r0
67,0.4,4,100,PVT,r0
68,0.4,4,50,PVT,r0
69,0.2,4,50,PVT,r0
70,0.3,16,50,PVT,r0
71,0.2,4,100,PVT,r0
72,0.2,16,100,PVT,r0
73,0.4,20,200,PVT,r0
74,0.2,8,100,PVT,r0
75,0.2,20,50,PVT,r0
76,0.4,20,50,PVT,r0
77,0.3,16,100,PVT,r0
78,0.1,4,50,PVT,r0
79,0.3,4,50,PVT,r0
80,0.2,16,200,PVT,r0
81,0.4,16,200,PVT,r0
82,0.1,8,200,PVT,r0
83,0.4,16,50,PVT,r0
84,0.2,16,50,PVT,r0
85,0.3,16,200,PVT,r0
86,0.4,20,50,ST,r1
87,0.2,20,50,ST,r1
88,0.2,20,100,ST,r1
89,0.2,8,100,ST,r1
90,0.1,8,200,ST,r1
91,0.3,8,200,ST,r1
92,0.3,20,200,ST,r1
93,0.3,4,200,ST,r0
94,0.3,4,100,ST,r1
95,0.3,16,100,ST,r1
96,0.1,16,100,ST,r1
97,0.2,20,200,ST,r1
98,0.1,4,100,ST,r1
99,0.3,20,100,ST,r1
100,0.1,20,200,ST,r1
101,0.4,4,100,ST,r1
102,0.4,4,200,ST,r1
103,0.2,4,100,ST,r1
104,0.2,16,100,ST,r1
105,0.4,16,100,ST,r1
106,0.4,16,200,ST,r1
107,0.2,16,50,ST,r1
108,0.4,16,50,ST,r1
109,0.4,4,50,ST,r1
110,0.4,4,200,ST,r0
111,0.1,20,100,ST,r1
112,0.1,8,100,ST,r1
113,0.3,8,100,ST,r1
114,0.4,8,100,ST,r1
115,0.2,4,200,ST,r1
116,0.2,16,200,ST,r1
117,0.3,8,50,ST,r1
118,0.3,20,50,ST,r1
119,0.2,8,50,ST,r1
120,0.3,4,200,ST,r1
121,0.4,20,200,ST,r1
122,0.4,20,100,ST,r1
123,0.4,8,50,ST,r0
124,0.1,16,200,ST,r1
125,0.1,4,200,ST,r1
126,0.4,20,50,PVT,r1
127,0.2,20,50,PVT,r1
128,0.2,20,100,PVT,r1
129,0.2,8,100,PVT,r1
130,0.1,8,200,PVT,r1
131,0.3,8,200,PVT,r1
132,0.3,20,200,PVT,r1
133,0.3,4,200,PVT,r0
134,0.3,4,100,PVT,r1
135,0.3,16,100,PVT,r1
136,0.1,16,100,PVT,r1
137,0.2,20,200,PVT,r1
138,0.1,4,100,PVT,r1
139,0.3,20,100,PVT,r1
140,0.1,20,200,PVT,r1
141,0.4,4,100,PVT,r1
142,0.4,4,200,PVT,r1
144,0.2,16,100,PVT,r1
145,0.4,16,100,PVT,r1
146,0.4,16,200,PVT,r1
147,0.2,16,50,PVT,r1
148,0.4,16,50,PVT,r1
149,0.4,4,50,PVT,r1
150,0.4,4,200,PVT,r0
151,0.1,20,100,PVT,r1
152,0.1,8,100,PVT,r1
153,0.3,8,100,PVT,r1
154,0.4,8,100,PVT,r1
155,0.2,4,200,PVT,r1
156,0.2,16,200,PVT,r1
157,0.3,8,50,PVT,r1
158,0.3,20,50,PVT,r1
159,0.2,8,50,PVT,r1
160,0.3,4,200,PVT,r1
161,0.4,20,200,PVT,r1
162,0.4,20,100,PVT,r1
163,0.4,8,50,PVT,r0
164,0.1,16,200,PVT,r1
165,0.1,4,200,PVT,r1
143,0.3,4,100,PVT,r1
166,0.1,8,200,cp_PV,r0
167,0.1,0.001,200,cp_PV,r0
168,0.3,0.001,200,cp_PV,r0
169,0.3,16,200,cp_PV,r0
170,0.3,4,200,cp_PV,r0
171,0.1,4,200,cp_PV,r0
172,0.2,8,200,cp_PV,r0
173,0.2,0.001,200,cp_PV,r0
174,0.4,0.001,200,cp_PV,r0
